;vars;vmask;tmask;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;clks
assign;0;000;7FE;21;4;4;4;4;4;4;4;6;44;27;82;677
;1;400;3FE;23;4;4;4;4;4;4;6;42;17;14;82;638
;2;600;1FE;25;4;4;4;4;4;6;42;0;17;16;77;633
;3;700;0FE;27;4;4;4;4;6;42;0;0;17;18;72;628
;4;780;07E;29;4;4;4;6;42;0;0;0;17;20;67;623
;5;7C0;03E;31;4;4;6;42;0;0;0;0;17;22;62;618
;6;7E0;01E;33;4;6;42;0;0;0;0;0;17;24;57;613
;7;7F0;00E;35;6;42;0;0;0;0;0;0;17;26;52;608
;8;7F8;006;39;42;0;0;0;0;0;0;0;17;28;47;603
;vars;vmask;tmask;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;clks
locals;0;000;7FE;45;27;12;13;48;46;40;45;54;62;68;56;956
;1;400;3FE;53;31;13;54;46;40;47;54;62;0;78;51;1001
;2;600;1FE;61;35;52;46;48;49;56;62;0;0;89;46;1051
;3;700;0FE;89;39;59;63;51;56;62;0;0;0;101;41;1106
;4;780;07E;109;43;75;49;74;79;0;0;0;0;113;36;1161
;5;7C0;03E;146;45;84;58;105;0;0;0;0;0;124;31;1211
;6;7E0;01E;156;88;112;94;0;0;0;0;0;0;138;26;1278
;7;7F0;00E;171;117;176;0;0;0;0;0;0;0;154;21;1356
;8;7F8;006;231;249;0;0;0;0;0;0;0;0;172;16;1447
;vars;vmask;tmask;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;clks
bubble;0;000;7FE;2;0;0;0;0;4;5;15;30;45;31;36;9855
;1;400;3FE;2;0;0;0;0;4;7;29;41;11;24;36;8193
;2;600;1FE;2;0;0;0;4;5;27;37;7;11;19;41;7714
;3;700;0FE;2;0;0;0;5;25;37;4;7;11;17;41;7399
;4;780;07E;2;0;0;5;19;37;6;4;7;11;13;46;7022
;5;7C0;03E;2;0;5;19;33;6;6;4;7;11;9;49;6949
;6;7E0;01E;2;5;19;33;0;6;6;4;7;11;9;49;6949
;7;7F0;00E;5;19;33;0;0;6;6;4;7;11;9;44;6921
;8;7F8;006;21;28;0;0;0;6;6;4;7;11;13;41;7492
